Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_plasma_R+45_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+45_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+45_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+45_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26347738	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_R+82_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+82_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+82_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+82_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	22465494	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.89	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_R+82_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+82_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+82_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+82_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	24909305	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.92	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_L-3_cfRNA	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_L-3_cfRNA	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_L-3_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_L-3_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	24898991	read	SO	http://purl.obolibrary.org/obo/SO_0000150	41.47	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_L-44_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_L-44_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_L-44_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_L-44_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26065551	read	SO	http://purl.obolibrary.org/obo/SO_0000150	10.7	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_L-44_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_L-44_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_L-44_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_L-44_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27979448	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22.66	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_L-92_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_L-92_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_L-92_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_L-92_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	25179289	read	SO	http://purl.obolibrary.org/obo/SO_0000150	28.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_L-92_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_L-92_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_L-92_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_L-92_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	28175619	read	SO	http://purl.obolibrary.org/obo/SO_0000150	34.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+1_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+1_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+1_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+1_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	25191457	read	SO	http://purl.obolibrary.org/obo/SO_0000150	10.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+1_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+1_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+1_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+1_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	24654152	read	SO	http://purl.obolibrary.org/obo/SO_0000150	14.25	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+194_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+194_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+194_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+194_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	29586781	read	SO	http://purl.obolibrary.org/obo/SO_0000150	11.58	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+194_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+194_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+194_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+194_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26009112	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.11	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+45_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+45_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+45_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+45_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26296877	read	SO	http://purl.obolibrary.org/obo/SO_0000150	11.32	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+45_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+45_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+45_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+45_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	19404094	read	SO	http://purl.obolibrary.org/obo/SO_0000150	12.79	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+82_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+82_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+82_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+82_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26134801	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.37	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C002_plasma_R+82_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C002_plasma_R+82_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C002_R+82_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C002_R+82_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	25677504	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.61	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_L-3_cfRNA	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_L-3_cfRNA	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_L-3_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_L-3_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26454533	read	SO	http://purl.obolibrary.org/obo/SO_0000150	47.76	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_L-44_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_L-44_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_L-44_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_L-44_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27414780	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.37	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_L-44_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_L-44_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_L-44_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_L-44_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27885616	read	SO	http://purl.obolibrary.org/obo/SO_0000150	10.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_L-92_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_L-92_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_L-92_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_L-92_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27468194	read	SO	http://purl.obolibrary.org/obo/SO_0000150	23.75	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_L-92_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_L-92_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_L-92_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_L-92_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26856757	read	SO	http://purl.obolibrary.org/obo/SO_0000150	32.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_R+1_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+1_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+1_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+1_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26234420	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_R+1_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+1_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+1_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+1_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27245009	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C003_plasma_R+194_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C003_plasma_R+194_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C003_R+194_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C003_R+194_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27157726	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.82	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
