Sample Name	Protocol REF	Extract Name	Parameter Value[QA Instrument]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
Flight_phyD_Light_bio_rep2	Nucleic Acid Extraction	Flight_phyD_Light_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_phyD_Light_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_phyD_Light_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	63218989	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.81	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_phyD_Light_bio_rep3	Nucleic Acid Extraction	Flight_phyD_Light_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_phyD_Light_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_phyD_Light_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	63074855	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Ws_Dark_bio_rep1	Nucleic Acid Extraction	Flight_Ws_Dark_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Ws_Dark_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Ws_Dark_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	59333987	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.81	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Ws_Dark_bio_rep2	Nucleic Acid Extraction	Flight_Ws_Dark_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Ws_Dark_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Ws_Dark_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	73568472	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.69	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Ws_Dark_bio_rep3	Nucleic Acid Extraction	Flight_Ws_Dark_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Ws_Dark_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Ws_Dark_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	99040417	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.83	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Ws_Light_bio_rep1	Nucleic Acid Extraction	Flight_Ws_Light_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Ws_Light_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Ws_Light_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	54755507	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Ws_Light_bio_rep2	Nucleic Acid Extraction	Flight_Ws_Light_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Ws_Light_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Ws_Light_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	63700857	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Ws_Light_bio_rep3	Nucleic Acid Extraction	Flight_Ws_Light_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Ws_Light_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Ws_Light_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	62860421	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.43	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Col-0_Dark_bio_rep1	Nucleic Acid Extraction	Ground_control_Col-0_Dark_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Col-0_Dark_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Col-0_Dark_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	70299975	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.57	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Col-0_Dark_bio_rep2	Nucleic Acid Extraction	Ground_control_Col-0_Dark_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Col-0_Dark_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Col-0_Dark_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	65409351	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.5	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Col-0_Dark_bio_rep3	Nucleic Acid Extraction	Ground_control_Col-0_Dark_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Col-0_Dark_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Col-0_Dark_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	65468104	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.95	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Col-0_Light_bio_rep1	Nucleic Acid Extraction	Ground_control_Col-0_Light_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Col-0_Light_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Col-0_Light_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	94081324	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.39	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Col-0_Light_bio_rep2	Nucleic Acid Extraction	Ground_control_Col-0_Light_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Col-0_Light_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Col-0_Light_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	63792292	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Col-0_Light_bio_rep3	Nucleic Acid Extraction	Ground_control_Col-0_Light_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Col-0_Light_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Col-0_Light_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	72728202	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_phyD_Dark_bio_rep1	Nucleic Acid Extraction	Ground_control_phyD_Dark_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_phyD_Dark_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_phyD_Dark_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	72578592	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_phyD_Dark_bio_rep2	Nucleic Acid Extraction	Ground_control_phyD_Dark_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_phyD_Dark_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_phyD_Dark_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	67171591	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.56	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_phyD_Dark_bio_rep3	Nucleic Acid Extraction	Ground_control_phyD_Dark_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_phyD_Dark_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_phyD_Dark_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	72948551	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_phyD_Light_bio_rep1	Nucleic Acid Extraction	Ground_control_phyD_Light_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_phyD_Light_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_phyD_Light_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	70173251	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.46	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_phyD_Light_bio_rep2	Nucleic Acid Extraction	Ground_control_phyD_Light_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_phyD_Light_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_phyD_Light_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	71598053	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.82	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_phyD_Light_bio_rep3	Nucleic Acid Extraction	Ground_control_phyD_Light_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_phyD_Light_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_phyD_Light_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	75905354	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Ws_Dark_bio_rep1	Nucleic Acid Extraction	Ground_control_Ws_Dark_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Ws_Dark_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Ws_Dark_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	51932171	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.65	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Ws_Dark_bio_rep2	Nucleic Acid Extraction	Ground_control_Ws_Dark_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Ws_Dark_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Ws_Dark_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	76295999	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.82	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Ws_Dark_bio_rep3	Nucleic Acid Extraction	Ground_control_Ws_Dark_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Ws_Dark_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Ws_Dark_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	57708663	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Ws_Light_bio_rep1	Nucleic Acid Extraction	Ground_control_Ws_Light_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Ws_Light_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Ws_Light_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	56534996	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.97	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Ws_Light_bio_rep2	Nucleic Acid Extraction	Ground_control_Ws_Light_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Ws_Light_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Ws_Light_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	43422711	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Ground_control_Ws_Light_bio_rep3	Nucleic Acid Extraction	Ground_control_Ws_Light_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Ground_control_Ws_Light_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Ground_control_Ws_Light_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	72340291	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.67	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
