Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library QA Instrument]	Parameter Value[Library Selection]	Parameter Value[Stranded]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
I4_Capsule_FD3_4	Nucleic Acid Extraction	I4_Capsule_FD3_4	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	21.29	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	15462434	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_5	Nucleic Acid Extraction	I4_Capsule_FD3_5	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	3.79	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	30260680	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_6	Nucleic Acid Extraction	I4_Capsule_FD3_6	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	12.64	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24138420	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_7	Nucleic Acid Extraction	I4_Capsule_FD3_7	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	15.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26305023	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_8	Nucleic Acid Extraction	I4_Capsule_FD3_8	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	17.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26825651	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_9	Nucleic Acid Extraction	I4_Capsule_FD3_9	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	22.5	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23856487	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_0	Nucleic Acid Extraction	I4_Capsule_L-44_0	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_0_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_0_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	30.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	15270509	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_1	Nucleic Acid Extraction	I4_Capsule_L-44_1	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_1_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_1_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	6.93	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27480978	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_2	Nucleic Acid Extraction	I4_Capsule_L-44_2	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_2_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_2_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	12.86	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	28606967	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_3	Nucleic Acid Extraction	I4_Capsule_L-44_3	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_3_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_3_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	22.28	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24755303	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_4	Nucleic Acid Extraction	I4_Capsule_L-44_4	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_4_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_4_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	3.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	35824332	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_5	Nucleic Acid Extraction	I4_Capsule_L-44_5	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_5_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_5_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	18.46	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26595680	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_6	Nucleic Acid Extraction	I4_Capsule_L-44_6	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_6_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_6_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	23.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	18669352	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_7	Nucleic Acid Extraction	I4_Capsule_L-44_7	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_7_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_7_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	25.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	16899671	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_8	Nucleic Acid Extraction	I4_Capsule_L-44_8	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_8_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_8_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	25.34	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	16330794	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-44_9	Nucleic Acid Extraction	I4_Capsule_L-44_9	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_9_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-44_9_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	13.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19733750	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_L-92_0	Nucleic Acid Extraction	I4_Capsule_L-92_0	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-92_0_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_L-92_0_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	18.76	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	25036292	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
