Sample Name	Protocol REF	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Parameter Value[Library QA Instrument]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
C002_Swab_L-3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_L-3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_L-3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	15.25	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	29528874	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_L-44_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_L-44_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_L-44_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	41.73	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	18123659	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_L-92_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_L-92_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_L-92_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	8.8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33399553	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_R+1_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_R+1_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_R+1_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	16.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	26419969	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_R+45_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_R+45_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_R+45_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	70.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	10180667	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_R+82_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_R+82_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_R+82_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	26.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	21858460	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_FD2_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_FD2_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_FD2_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.93	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	28941670	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_FD3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_FD3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_FD3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	2.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	32761210	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_L-3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_L-3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_L-3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.71	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	28494756	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_L-44_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_L-44_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_L-44_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	10.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	21721229	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_L-92_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_L-92_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_L-92_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	28892542	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_R+1_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_R+1_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_R+1_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	7.41	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	29250769	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_R+45_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_R+45_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_R+45_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	12.39	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	32700798	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C003_Swab_R+82_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C003_R+82_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C003_R+82_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	11.86	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	30776219	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_FD2_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_FD2_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_FD2_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	2.25	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27447886	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_FD3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_FD3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_FD3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33590163	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_L-3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_L-3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_L-3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	39782902	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_L-44_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_L-44_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_L-44_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	3.11	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	25579754	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_L-92_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_L-92_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_L-92_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	0.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27596533	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_R+1_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_R+1_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_R+1_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	2.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	25184386	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C004_Swab_R+45_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C004_R+45_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C004_R+45_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	0.41	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	36840982	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
