Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Assay Name	Parameter Value[Nanopore Raw Data Files]	Raw Data File	Protocol REF	Parameter Value[Processed Data File Name (gene expression)]	Parameter Value[Processed Data File Name (RNA modifications)]	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C003_whole-blood_L-3	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.7	RIN	OSD	https://osdr.nasa.gov/	C003_whole-blood_L-3	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Lminus3_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Lminus3_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	5384205	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C004_whole-blood_L-3	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.2	RIN	OSD	https://osdr.nasa.gov/	C004_whole-blood_L-3	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Lminus3_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Lminus3_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	4666798	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C001_whole-blood_R+1	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.3	RIN	OSD	https://osdr.nasa.gov/	C001_whole-blood_R+1	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Rplus1_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Rplus1_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	3584846	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C002_whole-blood_R+1	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.3	RIN	OSD	https://osdr.nasa.gov/	C002_whole-blood_R+1	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Rplus1_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Rplus1_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	4565679	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C003_whole-blood_R+1	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.9	RIN	OSD	https://osdr.nasa.gov/	C003_whole-blood_R+1	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Rplus1_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Rplus1_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	2196434	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C004_whole-blood_R+1	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	6.7	RIN	OSD	https://osdr.nasa.gov/	C004_whole-blood_R+1	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Rplus1_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Rplus1_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	4716002	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C001_whole-blood_R+45	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.2	RIN	OSD	https://osdr.nasa.gov/	C001_whole-blood_R+45	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Rplus45_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Rplus45_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	4848088	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C002_whole-blood_R+45	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	6.2	RIN	OSD	https://osdr.nasa.gov/	C002_whole-blood_R+45	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Rplus45_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Rplus45_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	3888038	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C003_whole-blood_R+45	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	5.8	RIN	OSD	https://osdr.nasa.gov/	C003_whole-blood_R+45	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Rplus45_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Rplus45_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	3771653	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.01	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C004_whole-blood_R+45_rep1	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	5.2	RIN	OSD	https://osdr.nasa.gov/	C004_whole-blood_R+45_rep1	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Rplus45_rep1_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Rplus45_rep1_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	4868886	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C004_whole-blood_R+45_rep2	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	8.5	RIN	OSD	https://osdr.nasa.gov/	C004_whole-blood_R+45_rep2	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Rplus45_rep2_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Rplus45_rep2_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	7328877	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C001_whole-blood_R+82	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	6.4	RIN	OSD	https://osdr.nasa.gov/	C001_whole-blood_R+82	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Rplus82_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Rplus82_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	2563568	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C002_whole-blood_R+82	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	6.4	RIN	OSD	https://osdr.nasa.gov/	C002_whole-blood_R+82	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Rplus82_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Rplus82_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	1015333	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C003_whole-blood_R+82	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7	RIN	OSD	https://osdr.nasa.gov/	C003_whole-blood_R+82	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Rplus82_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Rplus82_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	1951532	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
