Sample Name	Protocol REF	Protocol REF	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[Base Caller]	Assay Name	Raw Data File	Protocol REF	Parameter Value[ROI Image File Names]	Parameter Value[Slide Image File Names]	Comment[GeoMx Processing Batch]	Protocol REF	Parameter Value[Processed Data File Names]	Protocol REF	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_SKN_L-44_OD_rep3	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OD_S11_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OD_S11_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_OD_rep3.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	9758044	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C002_SKN_L-44_OE_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OE_S12_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OE_S12_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C002_L-44_OE_rep1.tiff	GLDS-566_SpatialTranscriptomics_C002_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	9704095	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C002_SKN_L-44_IE_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_IE_S13_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_IE_S13_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C002_L-44_IE_rep1.tiff	GLDS-566_SpatialTranscriptomics_C002_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	10614881	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C002_SKN_L-44_OD_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OD_S14_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OD_S14_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C002_L-44_OD_rep1.tiff	GLDS-566_SpatialTranscriptomics_C002_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	22064174	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C002_SKN_L-44_VA_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_VA_S15_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_VA_S15_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C002_L-44_VA_rep1.tiff	GLDS-566_SpatialTranscriptomics_C002_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	9816342	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C002_SKN_L-44_OE_rep2	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OE_S16_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OE_S16_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C002_L-44_OE_rep2.tiff	GLDS-566_SpatialTranscriptomics_C002_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	11673021	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C002_SKN_L-44_IE_rep2	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_IE_S17_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_IE_S17_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C002_L-44_IE_rep2.tiff	GLDS-566_SpatialTranscriptomics_C002_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19043920	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C002_SKN_L-44_OD_rep2	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OD_S18_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C002_L-44_OD_S18_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C002_L-44_OD_rep2.tiff	GLDS-566_SpatialTranscriptomics_C002_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	30440205	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C003_SKN_L-44_OE_rep3	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_OE_S19_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_OE_S19_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C003_L-44_OE_rep3.tiff	GLDS-566_SpatialTranscriptomics_C003_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	6398654	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C003_SKN_L-44_IE_rep3	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_IE_S20_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_IE_S20_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C003_L-44_IE_rep3.tiff	GLDS-566_SpatialTranscriptomics_C003_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	9040542	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C003_SKN_L-44_OD_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_OD_S21_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_OD_S21_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C003_L-44_OD_rep1.tiff	GLDS-566_SpatialTranscriptomics_C003_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	17975722	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C003_SKN_L-44_VA_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_VA_S22_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C003_L-44_VA_S22_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C003_L-44_VA_rep1.tiff	GLDS-566_SpatialTranscriptomics_C003_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	9287743	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
