Sample Name	Protocol REF	Protocol REF	Parameter Value[Sample Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Nucleus Count]	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Average Library Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Kit]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[R1 Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[R2 Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Processed Data Files]	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C002_PBMC_R+45	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	576	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	559	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C002_R+45_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C002_R+45_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	305442877	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.01	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C002_PBMC_R+82	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	9191	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	503	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C002_R+82_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C002_R+82_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	237851711	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.98	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	6032	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	424	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C003_L-92_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C003_L-92_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	799570986	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	20000	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	461	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C003_L-44_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C003_L-44_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	402436384	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1206	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	473	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C003_L-3_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C003_L-3_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	293148512	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.44	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_R+1	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1553	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	510	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C003_R+1_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C003_R+1_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	271305769	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.7	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_R+45	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	527	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	506	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C003_R+45_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C003_R+45_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	282800693	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.96	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C003_PBMC_R+82	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	12623	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	496	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C003_R+82_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C003_R+82_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	339984410	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	5179	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	450	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C004_L-92_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C004_L-92_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	616293095	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	14667	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	466	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C004_L-44_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C004_L-44_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	400956795	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.92	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C004_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	3562	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	465	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C004_L-3_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C004_L-3_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	271320154	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
